"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"1213",NA,NA,NA,NA,NA,"NPC2",NA,NA,NA,NA,"FKBP1B",NA,"CELF2","CYSLTR1","DUSP1",NA,NA,NA,NA,NA,NA,"HOOK2",NA,NA,"RPL41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENO2","CORO7","JOSD1","XBP1",NA,NA,NA,NA
"1214",NA,NA,NA,NA,NA,"NUDT7",NA,NA,NA,NA,"RASSF4",NA,"CFI","DCTPP1","MPZL3",NA,NA,NA,NA,NA,NA,"LAGE3",NA,NA,"TMEM69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NME1","IARS","KIF21A",NA,NA,NA,NA,NA
"1215",NA,NA,NA,NA,NA,"ATXN1",NA,NA,NA,NA,"SRD5A1",NA,"GLIS3","HIST1H4C","PRTFDC1",NA,NA,NA,NA,NA,NA,"NTHL1",NA,NA,"AK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSPN","MTM1","MAST4",NA,NA,NA,NA,NA
"1216",NA,NA,NA,NA,NA,"EDC3",NA,NA,NA,NA,"TASP1",NA,"ITM2B","NINJ2","TXLNG",NA,NA,NA,NA,NA,NA,"SEPT1",NA,NA,"AMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBXO21","RAB11FIP4","NHP2",NA,NA,NA,NA,NA
"1217",NA,NA,NA,NA,NA,"MEI1",NA,NA,NA,NA,"HIST1H2BF",NA,"MAGED4B","NRIP3","DOCK10",NA,NA,NA,NA,NA,NA,"MRPL11",NA,NA,"DGCR14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MGMT","ZNF682","SDF4",NA,NA,NA,NA,NA
"1218",NA,NA,NA,NA,NA,"NQO1",NA,NA,NA,NA,"OGFOD1",NA,"MKL1","SMYD2","FARSB",NA,NA,NA,NA,NA,NA,"TMEM98",NA,NA,"ING3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPZL1","ZNF813","CCDC136",NA,NA,NA,NA,NA
"1219",NA,NA,NA,NA,NA,"PNN",NA,NA,NA,NA,"SCARNA9",NA,"PPP1R14B","SRRM1","FUNDC2",NA,NA,NA,NA,NA,NA,"WDR34",NA,NA,"PTPRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCDHGA12","ADCY3","GLIPR2",NA,NA,NA,NA,NA
"1220",NA,NA,NA,NA,NA,"ZC3HAV1",NA,NA,NA,NA,"ARHGAP4",NA,"RUSC1","ZNF511","PRIM1",NA,NA,NA,NA,NA,NA,"C11ORF1",NA,NA,"SLC50A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC39A10","CERK","HABP4",NA,NA,NA,NA,NA
"1221",NA,NA,NA,NA,NA,"NLRC5",NA,NA,NA,NA,"CPM",NA,"ADCY3","ABHD5","THOC7",NA,NA,NA,NA,NA,NA,"CHCHD5",NA,NA,"TGDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF521","CHD6","HIST1H2AH",NA,NA,NA,NA,NA
"1222",NA,NA,NA,NA,NA,"HELLS",NA,NA,NA,NA,"ERBB2",NA,"RPS4X","ANTXR2","ZUFSP",NA,NA,NA,NA,NA,NA,"HINFP",NA,NA,"ALG12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD44","PLCXD1","RPL19",NA,NA,NA,NA,NA
"1223",NA,NA,NA,NA,NA,"ITGAE",NA,NA,NA,NA,"FAM204A",NA,"TNFRSF19","DPP9","ASF1A",NA,NA,NA,NA,NA,NA,"KIF9",NA,NA,"C11ORF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRASP","RNF175","SNHG9",NA,NA,NA,NA,NA
"1224",NA,NA,NA,NA,NA,"MINPP1",NA,NA,NA,NA,"HIST1H2BD",NA,"CYB5A","FARSB","EIF4EBP1",NA,NA,NA,NA,NA,NA,"RFNG",NA,NA,"GAPDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUSBP9","SMURF2","ARHGEF18",NA,NA,NA,NA,NA
"1225",NA,NA,NA,NA,NA,"KIF3A",NA,NA,NA,NA,"IMMP1L",NA,"LRRN4CL","TRAF5","HSPA5",NA,NA,NA,NA,NA,NA,"S100A10",NA,NA,"KLHL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CERS4","UMPS","ARL10",NA,NA,NA,NA,NA
"1226",NA,NA,NA,NA,NA,"LEO1",NA,NA,NA,NA,"LMAN1",NA,"ATP5J","ARID5B","IFI44",NA,NA,NA,NA,NA,NA,"SLC16A1",NA,NA,"PBXIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OPN3","ZNF606","CCR8",NA,NA,NA,NA,NA
"1227",NA,NA,NA,NA,NA,"NDUFAF2",NA,NA,NA,NA,"SGK1",NA,"CDC42EP2","ENG","RAB3D",NA,NA,NA,NA,NA,NA,"DENND5A",NA,NA,"PLCXD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB31","BTLA","NOD2",NA,NA,NA,NA,NA
"1228",NA,NA,NA,NA,NA,"PHACTR2",NA,NA,NA,NA,"ARVCF",NA,"HIST1H3H","FTSJ2","TAF1B",NA,NA,NA,NA,NA,NA,"G6PC3",NA,NA,"PRAF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RASSF4","CDK5R1","PVRIG",NA,NA,NA,NA,NA
"1229",NA,NA,NA,NA,NA,"PRKACB",NA,NA,NA,NA,"FGFR1",NA,"IFIT1","GOLIM4","ZNF671",NA,NA,NA,NA,NA,NA,"OGG1",NA,NA,"PRPS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VDAC1","IRF3","RAB43",NA,NA,NA,NA,NA
"1230",NA,NA,NA,NA,NA,"TMEM134",NA,NA,NA,NA,"PPIB",NA,"P4HB","MRPL10","BNIP1",NA,NA,NA,NA,NA,NA,"PCCB",NA,NA,"RCC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1QBP","LUZP6","SUMF2",NA,NA,NA,NA,NA
"1231",NA,NA,NA,NA,NA,"TXNL1",NA,NA,NA,NA,"SRFBP1",NA,"PRR7","PUS10","CERKL",NA,NA,NA,NA,NA,NA,"SRI",NA,NA,"SMAD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CADPS2","RPRD1A","AGFG2",NA,NA,NA,NA,NA
"1232",NA,NA,NA,NA,NA,"ZNF217",NA,NA,NA,NA,"SYK",NA,"RABAC1","SKA3","GK5",NA,NA,NA,NA,NA,NA,"APH1A",NA,NA,"THRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMK2N1","RPS16","BLVRA",NA,NA,NA,NA,NA
"1233",NA,NA,NA,NA,NA,"ZNF780B",NA,NA,NA,NA,"AIMP1",NA,"SEMA3B","TEC","ZMYM5",NA,NA,NA,NA,NA,NA,"DFFB",NA,NA,"TIMM13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIC1","ALG6","C12ORF42",NA,NA,NA,NA,NA
"1234",NA,NA,NA,NA,NA,"PA2G4",NA,NA,NA,NA,"GCNT1",NA,"AURKA","TMEM106C","ZNF720",NA,NA,NA,NA,NA,NA,"FUNDC2",NA,NA,"TMEM91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDRG4","EIF3CL","MCTP2",NA,NA,NA,NA,NA
"1235",NA,NA,NA,NA,NA,"PRRT1",NA,NA,NA,NA,"GRB10",NA,"HIST1H2BI","BUB1","CHN2",NA,NA,NA,NA,NA,NA,"NOP14",NA,NA,"C12ORF57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPFIBP2","EML3","RAPGEF1",NA,NA,NA,NA,NA
"1236",NA,NA,NA,NA,NA,"RALY",NA,NA,NA,NA,"MCL1",NA,"MYO1E","CYCS","CSTB",NA,NA,NA,NA,NA,NA,"PRC1",NA,NA,"C2CD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PELI2","HADH","RPL21",NA,NA,NA,NA,NA
"1237",NA,NA,NA,NA,NA,"ZNF608",NA,NA,NA,NA,"PTPMT1",NA,"SDF2L1","DHRS12","PAWR",NA,NA,NA,NA,NA,NA,"QSOX1",NA,NA,"EEF1D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUB","PHF10","SNAI3",NA,NA,NA,NA,NA
"1238",NA,NA,NA,NA,NA,"FOS",NA,NA,NA,NA,"SLC44A3",NA,"TRAPPC5","EXOSC5","RAP2B",NA,NA,NA,NA,NA,NA,"RPL34",NA,NA,"HMGXB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACBD6","RHPN1","SRSF8",NA,NA,NA,NA,NA
"1239",NA,NA,NA,NA,NA,"POLD3",NA,NA,NA,NA,"ZFP36L1",NA,"BCAM","SNRPA1","EIF3CL",NA,NA,NA,NA,NA,NA,"ZFAT",NA,NA,"RASGEF1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ECE1","ARHGAP5","TSPO",NA,NA,NA,NA,NA
"1240",NA,NA,NA,NA,NA,"SRRM1",NA,NA,NA,NA,"CMTM4",NA,"CDCA3","SNX16","ERBB2IP",NA,NA,NA,NA,NA,NA,"CCDC167",NA,NA,"BCAS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIST1H2BC","SEC31B","ASAP1",NA,NA,NA,NA,NA
"1241",NA,NA,NA,NA,NA,"TOMM22",NA,NA,NA,NA,"PKIA",NA,"FAM57A","AARSD1","FLJ27354",NA,NA,NA,NA,NA,NA,"GBP4",NA,NA,"CHCHD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIST1H3D","ST3GAL1","IRF3",NA,NA,NA,NA,NA
"1242",NA,NA,NA,NA,NA,"TSPYL4",NA,NA,NA,NA,"ATXN3",NA,"SAMD9","ACO1","PHPT1",NA,NA,NA,NA,NA,NA,"POLR2E",NA,NA,"MRPS24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAMP1","METTL12",NA,NA,NA,NA,NA
"1243",NA,NA,NA,NA,NA,"VASP",NA,NA,NA,NA,"PTGR1",NA,"C15ORF52","ACSL4","PTPRM",NA,NA,NA,NA,NA,NA,"STUB1",NA,NA,"RRP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGEF18","SP140",NA,NA,NA,NA,NA
"1244",NA,NA,NA,NA,NA,"GRASP",NA,NA,NA,NA,"RCAN3",NA,"FKBP11","MIF4GD","TAMM41",NA,NA,NA,NA,NA,NA,"TOP3B",NA,NA,"SYF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCDC66","ST6GAL1",NA,NA,NA,NA,NA
"1245",NA,NA,NA,NA,NA,"LY75",NA,NA,NA,NA,"ADH5",NA,"PCDHGC3","RAB3IP","TMEM60",NA,NA,NA,NA,NA,NA,"DHRSX",NA,NA,"TOM1L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEP70","TP53I13",NA,NA,NA,NA,NA
"1246",NA,NA,NA,NA,NA,"MAP3K13",NA,NA,NA,NA,"AEN",NA,"TOMM6","THBS3","YPEL5",NA,NA,NA,NA,NA,NA,"PFDN4",NA,NA,"CYTH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAPP1","DDHD1",NA,NA,NA,NA,NA
"1247",NA,NA,NA,NA,NA,"SOD1",NA,NA,NA,NA,"CENPB",NA,"UST","CALCOCO2","ATP5C1",NA,NA,NA,NA,NA,NA,"SLC35A5",NA,NA,"NIT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK10","FBXO32",NA,NA,NA,NA,NA
"1248",NA,NA,NA,NA,NA,"WDFY4",NA,NA,NA,NA,"HIST2H2AB",NA,"AARS","CDC20","BNIP3L",NA,NA,NA,NA,NA,NA,"CNN3",NA,NA,"NLE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRPC1","IGIP",NA,NA,NA,NA,NA
"1249",NA,NA,NA,NA,NA,"ZNF223",NA,NA,NA,NA,"PPP1R3B",NA,"APOL1","HIF1AN","ELOVL5",NA,NA,NA,NA,NA,NA,"ELOVL1",NA,NA,"PKNOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTF2","PRKACB",NA,NA,NA,NA,NA
"1250",NA,NA,NA,NA,NA,"DNAJA3",NA,NA,NA,NA,"TNFAIP8",NA,"CASP4","MYH9","HIST2H4A",NA,NA,NA,NA,NA,NA,"EZR",NA,NA,"PSME2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARAP2","YWHAH",NA,NA,NA,NA,NA
"1251",NA,NA,NA,NA,NA,"EIF3H",NA,NA,NA,NA,"VDR",NA,"HSPA1B","RPF2","RPS20",NA,NA,NA,NA,NA,NA,"HINT2",NA,NA,"SSB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCL2A1","ZEB1",NA,NA,NA,NA,NA
"1252",NA,NA,NA,NA,NA,"HACL1",NA,NA,NA,NA,"CLPTM1L",NA,"NUDT11","SDPR","GLO1",NA,NA,NA,NA,NA,NA,"ITGA9",NA,NA,"WIPF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOCS2","AOAH",NA,NA,NA,NA,NA
"1253",NA,NA,NA,NA,NA,"KIAA0040",NA,NA,NA,NA,"EFNA5",NA,"PEA15","WASF2","PPT1",NA,NA,NA,NA,NA,NA,"MPV17L2",NA,NA,"DALRD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNN3","HIST1H2BE",NA,NA,NA,NA,NA
"1254",NA,NA,NA,NA,NA,"MRPL9",NA,NA,NA,NA,"EMILIN2",NA,"SKA3","ZFAND1","SNRPF",NA,NA,NA,NA,NA,NA,"WDR4",NA,NA,"METTL7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FNBP1","LITAF",NA,NA,NA,NA,NA
"1255",NA,NA,NA,NA,NA,"PTGER2",NA,NA,NA,NA,"FUCA1",NA,"ANXA3","BRIX1","TRAF3IP2",NA,NA,NA,NA,NA,NA,"CLPTM1L",NA,NA,"NDUFS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP88","MDM4",NA,NA,NA,NA,NA
"1256",NA,NA,NA,NA,NA,"TUBB",NA,NA,NA,NA,"SDR42E1",NA,"GBP2","OPTN","UBE2V1",NA,NA,NA,NA,NA,NA,"EIF1AD",NA,NA,"PBX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIEZO1","RASSF3",NA,NA,NA,NA,NA
"1257",NA,NA,NA,NA,NA,"CALML4",NA,NA,NA,NA,"DUSP6",NA,"OSMR","PLK4","ZHX2",NA,NA,NA,NA,NA,NA,"ITGAE",NA,NA,"C2ORF76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APPL2","SLMO2",NA,NA,NA,NA,NA
"1258",NA,NA,NA,NA,NA,"CCT3",NA,NA,NA,NA,"H2AFJ",NA,"PHLDA3","RAD23A","ARID4A",NA,NA,NA,NA,NA,NA,"RPL12",NA,NA,"CERS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL7A","ZNF100",NA,NA,NA,NA,NA
"1259",NA,NA,NA,NA,NA,"TPK1",NA,NA,NA,NA,"MMP11",NA,"PSD3","RNASET2","ECI2",NA,NA,NA,NA,NA,NA,"CRBN",NA,NA,"FTH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SENP7","JAKMIP1",NA,NA,NA,NA,NA
"1260",NA,NA,NA,NA,NA,"ACRBP",NA,NA,NA,NA,"PTPRS",NA,"USP9Y","SGOL1","RORA",NA,NA,NA,NA,NA,NA,"DYNC2LI1",NA,NA,"SRP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNN2","MALAT1",NA,NA,NA,NA,NA
"1261",NA,NA,NA,NA,NA,"ACY1",NA,NA,NA,NA,"SEPT11",NA,"ANTXR2","VAMP2","RPL26L1",NA,NA,NA,NA,NA,NA,"HSPE1",NA,NA,"ZNF217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYLD","TMEM156",NA,NA,NA,NA,NA
"1262",NA,NA,NA,NA,NA,"CYSLTR1",NA,NA,NA,NA,"SKIV2L2",NA,"CCNA2","ZNF770","ZNF763",NA,NA,NA,NA,NA,NA,"PHPT1",NA,NA,"FAM69B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EEA1","ZNF331",NA,NA,NA,NA,NA
"1263",NA,NA,NA,NA,NA,"VAPB",NA,NA,NA,NA,"GALE",NA,"NLGN2","AMPD2","GIMAP7",NA,NA,NA,NA,NA,NA,"PIK3IP1",NA,NA,"GSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPL46","MAGI3",NA,NA,NA,NA,NA
"1264",NA,NA,NA,NA,NA,"ANP32B",NA,NA,NA,NA,"IL6R",NA,"SAT1","C2ORF68","HMGN2",NA,NA,NA,NA,NA,NA,"RCC1",NA,NA,"SP100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEAT1","SEPN1",NA,NA,NA,NA,NA
"1265",NA,NA,NA,NA,NA,"CD63",NA,NA,NA,NA,"LAYN",NA,"SEPT10","DNAJC18","RPL31",NA,NA,NA,NA,NA,NA,"TNFRSF25",NA,NA,"SPRY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHACTR2","SLC38A7",NA,NA,NA,NA,NA
"1266",NA,NA,NA,NA,NA,"FAM178A",NA,NA,NA,NA,"SERPINB7",NA,"ASMTL","EIF3L","SYNJ2",NA,NA,NA,NA,NA,NA,"UBE2E3",NA,NA,"TOMM22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL9","PPAP2A",NA,NA,NA,NA,NA
"1267",NA,NA,NA,NA,NA,"ILVBL",NA,NA,NA,NA,"TRIM2",NA,"C16ORF45","MRPL33","YTHDC2",NA,NA,NA,NA,NA,NA,"CHST12",NA,NA,"TSPAN32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLMO2","PPP3CC",NA,NA,NA,NA,NA
"1268",NA,NA,NA,NA,NA,"MYH10",NA,NA,NA,NA,"WDR54",NA,"C1QBP","MXD1","EEF1E1",NA,NA,NA,NA,NA,NA,"GNAI1",NA,NA,"AES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMYD5","SNRNP70",NA,NA,NA,NA,NA
"1269",NA,NA,NA,NA,NA,"TMEM19",NA,NA,NA,NA,"ARL4A",NA,"HIST1H2AL","TXNL1","RIPK3",NA,NA,NA,NA,NA,NA,"MIS18A",NA,NA,"C2ORF68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNRK","BTG1",NA,NA,NA,NA,NA
"1270",NA,NA,NA,NA,NA,"ACAA2",NA,NA,NA,NA,"DSE",NA,"KIAA0101","ACTA2","USP11",NA,NA,NA,NA,NA,NA,"SFXN4",NA,NA,"CCT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DCHS1","ENOSF1",NA,NA,NA,NA,NA
"1271",NA,NA,NA,NA,NA,"BCAP29",NA,NA,NA,NA,"GNAI2",NA,"RUNX1T1","CRYL1","UTY",NA,NA,NA,NA,NA,NA,"STK25",NA,NA,"HIST2H4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUSP16","ITM2B",NA,NA,NA,NA,NA
"1272",NA,NA,NA,NA,NA,"GALE",NA,NA,NA,NA,"MFAP2",NA,"SNTB1","PRKAG2","ZNF665",NA,NA,NA,NA,NA,NA,"TMEM194B",NA,NA,"MAGED2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAVCR1","SOD1",NA,NA,NA,NA,NA
"1273",NA,NA,NA,NA,NA,"PTRHD1",NA,NA,NA,NA,"PTER",NA,"BAG2","SLCO4A1","RPL24",NA,NA,NA,NA,NA,NA,"AOAH",NA,NA,"PLEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N4BP2","SPAG5",NA,NA,NA,NA,NA
"1274",NA,NA,NA,NA,NA,"RAD51D",NA,NA,NA,NA,"PXN",NA,"FOXN3","TMEM191A","CD109",NA,NA,NA,NA,NA,NA,"FKBP8",NA,NA,"APOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOK2","TAF4B",NA,NA,NA,NA,NA
"1275",NA,NA,NA,NA,NA,"RANGRF",NA,NA,NA,NA,"RPS26",NA,"PDLIM3","CXCL10","MFAP1",NA,NA,NA,NA,NA,NA,"SOD1",NA,NA,"CALN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRBA","ARHGAP25",NA,NA,NA,NA,NA
"1276",NA,NA,NA,NA,NA,"SPRY1",NA,NA,NA,NA,"SHISA2",NA,"PPIA","EXT2","PTTG1",NA,NA,NA,NA,NA,NA,"WDR12",NA,NA,"COPG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM14C","DIP2B",NA,NA,NA,NA,NA
"1277",NA,NA,NA,NA,NA,"WDR92",NA,NA,NA,NA,"SLC12A8",NA,"STMN3","HPS4","ZNF502",NA,NA,NA,NA,NA,NA,"WDR41",NA,NA,"KIAA1324L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMSB10","DNM2",NA,NA,NA,NA,NA
"1278",NA,NA,NA,NA,NA,"C19ORF38",NA,NA,NA,NA,"SNCA",NA,"ATP5G1","MDM4","GCAT",NA,NA,NA,NA,NA,NA,"LY6G5C",NA,NA,"MILR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF862","EHD1",NA,NA,NA,NA,NA
"1279",NA,NA,NA,NA,NA,"CPNE8",NA,NA,NA,NA,"VLDLR",NA,"GK","RANGRF","RNF103",NA,NA,NA,NA,NA,NA,"SLC2A9",NA,NA,"PRMT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCND3","PLXDC1",NA,NA,NA,NA,NA
"1280",NA,NA,NA,NA,NA,"GNPDA2",NA,NA,NA,NA,NA,NA,"IFI6","STK3","CDC6",NA,NA,NA,NA,NA,NA,"ARV1",NA,NA,"ZRANB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENGASE","SIDT1",NA,NA,NA,NA,NA
"1281",NA,NA,NA,NA,NA,"HIST1H4C",NA,NA,NA,NA,NA,NA,"ADCK3","STUB1","MED4",NA,NA,NA,NA,NA,NA,"CMAS",NA,NA,"ADH5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM8A1","TMEM123",NA,NA,NA,NA,NA
"1282",NA,NA,NA,NA,NA,"MDFIC",NA,NA,NA,NA,NA,NA,"EMP3","ABHD14A","TNNT3",NA,NA,NA,NA,NA,NA,"CYTIP",NA,NA,"FAM8A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R12C","ANK1",NA,NA,NA,NA,NA
"1283",NA,NA,NA,NA,NA,"MPZL1",NA,NA,NA,NA,NA,NA,"FSTL3","CALN1","ZNF816",NA,NA,NA,NA,NA,NA,"PGLS",NA,NA,"IL3RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGIF1","ANKRD36",NA,NA,NA,NA,NA
"1284",NA,NA,NA,NA,NA,"PDRG1",NA,NA,NA,NA,NA,NA,"FUT8","CHRAC1","CNN2",NA,NA,NA,NA,NA,NA,"RMI1",NA,NA,"LBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TJP2","MALT1",NA,NA,NA,NA,NA
"1285",NA,NA,NA,NA,NA,"PSMB5",NA,NA,NA,NA,NA,NA,"GSTM3","GLT8D1","DCAF12",NA,NA,NA,NA,NA,NA,"VAMP2",NA,NA,"MRPS26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR89","MGST2",NA,NA,NA,NA,NA
"1286",NA,NA,NA,NA,NA,"RUVBL1",NA,NA,NA,NA,NA,NA,"ITGA7","LARS","DNAJC25-GNG10",NA,NA,NA,NA,NA,NA,"ARL6IP4",NA,NA,"PNRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BTN3A3","MKNK2",NA,NA,NA,NA,NA
"1287",NA,NA,NA,NA,NA,"TMEM156",NA,NA,NA,NA,NA,NA,"NDOR1","MAP4K1","DPCD",NA,NA,NA,NA,NA,NA,"OLA1",NA,NA,"VEGFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GCC2","SIGIRR",NA,NA,NA,NA,NA
"1288",NA,NA,NA,NA,NA,"ZBTB20",NA,NA,NA,NA,NA,NA,"RPLP2","MT2A","PRDX6",NA,NA,NA,NA,NA,NA,"SART1",NA,NA,"KLF7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRS2","XBP1",NA,NA,NA,NA,NA
"1289",NA,NA,NA,NA,NA,"PAN3",NA,NA,NA,NA,NA,NA,"SNRPF","RGPD6","TRAPPC5",NA,NA,NA,NA,NA,NA,"SLC25A1",NA,NA,"PYGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDCD4","CASP6",NA,NA,NA,NA,NA
"1290",NA,NA,NA,NA,NA,"ACN9",NA,NA,NA,NA,NA,NA,"CXXC5","RPL26L1","TUBGCP5",NA,NA,NA,NA,NA,NA,"ARL4A",NA,NA,"RBBP9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLR1E","IQGAP1",NA,NA,NA,NA,NA
"1291",NA,NA,NA,NA,NA,"ATG16L2",NA,NA,NA,NA,NA,NA,"FAM126A","CUTA","ZNF627",NA,NA,NA,NA,NA,NA,"ARMCX6",NA,NA,"ZNF558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SECISBP2","JMJD7-PLA2G4B",NA,NA,NA,NA,NA
"1292",NA,NA,NA,NA,NA,"COX16",NA,NA,NA,NA,NA,NA,"RAB31","GCC2","ANAPC4",NA,NA,NA,NA,NA,NA,"EIF4A3",NA,NA,"ALG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AKAP7","LONRF1",NA,NA,NA,NA,NA
"1293",NA,NA,NA,NA,NA,"DIP2A",NA,NA,NA,NA,NA,NA,"RPL37","HMGN1","CD81",NA,NA,NA,NA,NA,NA,"PLD3",NA,NA,"C10ORF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLASRP","RPS3A",NA,NA,NA,NA,NA
"1294",NA,NA,NA,NA,NA,"FAM136A",NA,NA,NA,NA,NA,NA,"TNFRSF10D","IGFBP6","DSE",NA,NA,NA,NA,NA,NA,"MEG3",NA,NA,"FAM162A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF1","RUNX3",NA,NA,NA,NA,NA
