"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1122",NA,"PTPN22","REXO2","ECT2","DDAH1","MRTO4","DENND1B","NMRK1","SLC37A3",NA,"BBS12","NR2F1-AS1",NA,"PI4KA",NA,"AP1S2","GLT8D2",NA,"GYG1","ZNF804A","CTBP2","TLN1","GEMIN4","JAG1","SNRPD2",NA,"CENPK","SCPEP1",NA,"DBN1","LYPD3","RPS20"
"1123",NA,"SEMA4A","TES","RABEPK","NUDCD2","NONAME715","INSIG1","NONAME812","TMEM35B",NA,"GOLGA4","STXBP1",NA,"TRIAP1",NA,"LENG8","NONAME681",NA,"SULT1A1","ANXA11","DDX60","FIBIN","TBC1D8","NCAPH","RPS6KA4",NA,"CMSS1","TAF1L",NA,"PTOV1","MED10","RRM2B"
"1124",NA,"SNRPD1","TRAF5","RFK","UNC5B","NUP35","KIF1BP","FAM161A","IGF2R",NA,"NRDC","BST2",NA,"PA2G4",NA,"RPL14","UGDH",NA,"IRF2","ILF3","SLC25A39","HHIP-AS1","HPRT1","PMS1","SKA2",NA,"CYLD","CYP2U1",NA,"BTBD11","SLC44A2","ABHD14B"
"1125",NA,"CENPW","CD1D","S1PR4","UBR3","PKD2","APLP2","RAB20","AFAP1",NA,"POLE3","NOC3L",NA,"PNOC",NA,"DENND5A","ICAM3",NA,"TACSTD2","MCM6","TES","ICAM3","IL17RA","ECI2","SLC16A14",NA,"HOMER1","SHQ1",NA,"MARCH4","TGFBR2","CTRB2"
"1126",NA,"CYP2U1","HDHD2","TAF6","ARHGEF10","RNF135","MFSD1","SMAD1","FAM109B",NA,"WSB1","TMEM167B",NA,"RNF144A",NA,"TNFAIP2","TMCO3",NA,"ANO5","RBBP8","TMED7","MRPL37","MPZL3","LIPG","TAGLN",NA,"CMTM6","AXL",NA,"TMEM35B","WDR12","CYB5A"
"1127",NA,"NUP37","IGKV4-1","ALDH5A1","EFNB2","YARS2","PHF11","TBC1D4","TAP1",NA,"DENR","CTNNB1",NA,"SCRN1",NA,"LGALSL","CDK2AP1",NA,"COX5A","ZNF850","CNIH1","RFC3","SLC9A3R1","REEP1","APEX1",NA,"DEF6","BHMT2",NA,"KPNA4","ILF2","DIP2C"
"1128",NA,"RAB11FIP1","PET100","TM9SF4","MRPL3","MID1IP1","PREX1","ACTL6A","UQCRC1",NA,"SCARNA17","GBE1",NA,"NDRG1",NA,"PRKD2","CIART",NA,"ERMP1","BLOC1S6","PNPLA6","CDO1","DEPDC1","TMEM14A","S100A4",NA,"TUBB2A","CCDC77",NA,"MTCL1","IMMP1L","NAV1"
"1129",NA,"RPS17","MEGF9","CCDC26","PTOV1","ZNF135","SEMA4A","AMT","CALM1",NA,"UBAP2L","MAFB",NA,"SKA1",NA,"IER5","DUSP5",NA,"GBP2","FAM50B","CSRNP1","DAAM2","GPR65","IFITM2","VCPKMT",NA,"BAX","CCDC43",NA,"NDUFB10","PRKD2","PTGS1"
"1130",NA,"TMEM214","NNT-AS1","FIS1","VIT","ACTA2","UBL3","TAC1","DAPK1",NA,"PPM1G","PSMB3",NA,"COPG1",NA,"LCLAT1","GSTA4",NA,"GRINA","BCR","PLAGL1","HSPB6","EMG1","PHACTR2","ALDH18A1",NA,"CCDC6","GADD45A",NA,"OSTM1","TPRKB","CCDC112"
"1131",NA,"PEX6","ZNF175","FRAT1","CMSS1","CAHM","CASP7","NONAME681","RPGR",NA,"TSPAN7","SERPINB9",NA,"WIPF1",NA,"EGR3","IPO5P1",NA,"PLSCR1","DDAH2","PPP1R15A","TMEM14A","RBP7","PTCHD1","CBX5",NA,"CTBP1-AS2","PFN1",NA,"SNX9","TTC9","SCARA3"
"1132",NA,"RBM42","ECT2","PRPS2","SWI5","CHPT1","SIPA1L1","SNORA25","STAT6",NA,"ARHGAP15","TSPAN5",NA,"GUSB",NA,"NDUFA5","NUAK2",NA,"TOR4A","NOB1","RTCB","TRPC4","EIF3E","CGNL1","HEIH",NA,"MCUB","SH3KBP1",NA,"ZBED5-AS1","ALOX5","TRIB3"
"1133",NA,"SH3KBP1","GSTO1","TTC8","FKBP14","ZSCAN18","FASTKD1","SPRY4","CTBP2",NA,"RAVER1","AKR1C2",NA,"FRAT1",NA,"OSTF1","TMEM243",NA,"TXNRD1","SETD6","TPK1","BHLHB9","COA3","FAM69C","MAFF",NA,"PRNP","TLCD2",NA,"CNTFR","CYP20A1","ZFP36"
"1134",NA,"C11ORF54","NDUFS4","METTL26","MCC","ATP10D","FN1","CYCS","CRYZ",NA,"CENPC","PRICKLE1",NA,"IPO5",NA,"SMARCAD1","EIF4EBP1",NA,"MITF","TXNIP","YWHAE","NECTIN3","HLA-A","REC8","SMC3",NA,"SLC44A2","ANXA6",NA,"FH","TRIAP1","CLSTN1"
"1135",NA,"NFU1","TST","MRPL3","TOB2","CDC45","CDC42BPB","PGRMC1","HPCAL1",NA,"NAPB","SKAP2",NA,"LRRC25",NA,"TUFT1","LPAR6",NA,"PPP1R18","C10ORF2","MYADM","TENM2","PRPF8","S100A4","ACBD3",NA,"LAPTM4B","B3GNT2",NA,"FANCL","TIMP1","CTSF"
"1136",NA,"NONAME173","UBL3","PSMC4","ABCC1","NTHL1","GDF15","SLIRP","LRRC17",NA,"PSMD5","CD59",NA,"COX5A",NA,"CORO1C","OXSM",NA,"WSB2","TTC32","BTBD1","YIF1A","PSENEN","TOM1L1","AKTIP",NA,"RAB9A","CD4",NA,"HIST1H2BK","TMEM30A","MAP4K4"
"1137",NA,"GEMIN4","ADD3","SF3A3","APOL1","PCYOX1L","WARS","ALMS1","TIMP1",NA,"RANBP6","MCM5",NA,"GADD45GIP1",NA,"PKIG","PTER",NA,"ASRGL1","RAB9A","KDELR1","CFH","AP2S1","ADGRB3","APPL2",NA,"RBBP5","PLBD1",NA,"KDSR","ITPR3","MELK"
"1138",NA,"PET117","CTBP2","TBC1D23","HEBP2","PSENEN","ATP6V1A","SEPT3","HRAS",NA,"NUP62","PLPP7",NA,"PCYOX1L",NA,"CARD8","CDT1",NA,"CDCA7L","SF3A2","MYB","MATN2","PARP12","FAR1","DDX39A",NA,"SP110","SLC31A2",NA,"MRPS28","KLF6","PA2G4"
"1139",NA,"RBMX","EPB41L4A-AS1","ARHGEF6","YIF1A","EIF4EBP1","C4ORF32","ZNF195","LGMN",NA,"PROS1","RACK1",NA,"PSMD14",NA,"CMTM7","RRAGD",NA,"PYGL","PFDN5","RAB24","ZNF667-AS1","ERO1A","SOWAHC","ANXA11",NA,"SUN2","HACD3",NA,"RAB3B","NDUFAF4","FAM129A"
"1140",NA,"TAF1A","NEK2","PSMB10","NALCN","GALNT3","CMTM3","PIGW","MX1",NA,"E2F7","TMEM35B",NA,"RNASE4",NA,"DAB2","TSPAN4",NA,"FUCA1","SPTBN2","SNN","AP2S1","PSMB3","DSCC1","ASNS",NA,"UTP3","RILPL2",NA,"SLC38A5","NDUFB10","MZT2A"
"1141",NA,"ASUN","SMCHD1","ZNF587B","ATP6AP1L","GTF2H4","FAM49A","RDH11","NFKBIE",NA,"HK2","DNASE2",NA,"SCRIB",NA,"GOT2","IMPDH1",NA,"SOX13","C16ORF95","UTP3","MIS18A","STAM","ERICH5","BAZ2B",NA,"ATP2B4","FAM19A5",NA,"B2M","ZFP36L1","TMEM105"
"1142",NA,"POLR3K","TK1","C12ORF45","BMP4","VPS37B","RAB11FIP1","RPRM","PQLC3",NA,"RAF1","FCRLB",NA,"SNRPA",NA,"HECA","MSANTD2",NA,"SPATA20","EID2B","CTNNA1","MLKL","TBC1D10B","PET117","GREM1",NA,"GALNT7","KLF2",NA,"DAW1","AMIGO1","CSTB"
"1143",NA,"PRMT6","HYLS1","LSM4","HOMER1","CLIP2","SUSD6","TCF4","FLNA",NA,"SMARCD2","FKBP11",NA,"BLMH",NA,"ZSCAN18","PFKP",NA,"TMEM206","NDUFAF4","DHRS9","S100A10","LRP10","HLTF","LSAMP",NA,"SNTB2","PODN",NA,"DTX3L","CTSH","FCHO1"
"1144",NA,"TRIM56","KIT","NONAME68","KANK2","SCCPDH","ATP2B1","ZNF93","MCM2",NA,"BAP1","SUMF2",NA,"GPX3",NA,"KAT2B","SORBS3",NA,"ANXA2P2","RRN3P2","STAT6","GALNT7","TRIM28","PDPN","MDK",NA,"FGD3","RHOQ",NA,"HOXB2","MRPL13","PSAT1"
"1145",NA,"ADAM19",NA,"STAG2","LIMA1","SLC16A14","RRAS","ARHGAP42","MRPL13",NA,"DHX15","TMEM243",NA,"TMEM268",NA,"FCHO2","TMEM135",NA,"IRF2BPL","SKA2","CHAMP1","RPL8","HK1","C4ORF46","SEC23A",NA,"NDUFAF4","SIDT2",NA,"NONAME826","LRPPRC","PTOV1"
"1146",NA,"PSMD3",NA,"MRPL38","ST6GAL2","ZNF792","TUBA1A","B3GNT7","OPTN",NA,"DDX17","FGF13",NA,"WDR3",NA,"PRR34-AS1","VCPKMT",NA,"STAM","CSRP1","MARCH2","RRBP1","LAMTOR2","LOXL1-AS1","ARPC5",NA,"PMF1","SLC37A3",NA,"PKIG","NDUFS3","RALGAPA1"
"1147",NA,"LTBP3",NA,"R3HDM2","UGDH","CTPS1","CFI","GYG2","PSAT1",NA,"GLUL","HAS2",NA,"AMZ2P1",NA,"AP5B1","ZNF681",NA,"PET117","ERMP1","PTGER4","VPS45","VAT1","GNG11","SPTAN1",NA,"UBTD2","ABAT",NA,"SATB2","RSRP1","STMN2"
"1148",NA,"CASP1",NA,"CENPA","ANGPTL2","KCNN4","COX5A","ZNF100","ZSWIM6",NA,"TUBB4B","EPB41L4A-AS1",NA,"GPR18",NA,"CBX7","ADD2",NA,"SP140L","LRBA","VSIG4","WBP11","MRPL3","PMAIP1","HECTD3",NA,"BBX","CDC37L1",NA,"CBR1","ZNF83","TMEM256"
"1149",NA,"TRMT11",NA,"CRTC3","MCUB","MIS18A","GRINA","HSPA9","ABCB10",NA,"TXN2","HIST1H1C",NA,"ZBED5-AS1",NA,"MRPL1","ECHDC2",NA,"TRG-AS1","PLP2","GCLC","PLD3","ZNF75D","RHOBTB1","NUP205",NA,"CROCCP2","CDK2AP1",NA,"DPP7","NDUFS7","LAMB2"
"1150",NA,"TSPAN3",NA,"IREB2","CAPZA2","NUP37","PARP14","PRDX1","APEX1",NA,"ZNF137P","THSD4",NA,"AKNA",NA,"NR3C1","FAM98B",NA,"LRRK2","TEX9","MEGF9","TNC","ADSS","SNRPA","SNHG16",NA,"HIPK2","CHSY3",NA,"FKBP10","TTC32","PYY"
"1151",NA,"TXLNA",NA,"RAD21","CILP","UBE2L6","RHBDF2","DCAF16","CASP7",NA,"NONAME696","TCEAL1",NA,"PLP2",NA,"RGL2","AGMAT",NA,"TNFAIP8L1","TMEM203","RHOU","C4ORF46","GRK2","ARG2","FBXO21",NA,"SNORA25","DDAH1",NA,"L3HYPDH","MRPS30","ARMCX3"
"1152",NA,"PFKFB3",NA,"GEN1","HHLA3","CLEC5A","SLTM","JPH1","CTTN",NA,"PSMD8","CORO1B",NA,"RBBP8",NA,"CAMK2G","ALDH18A1",NA,"ABR","TSPAN6","SWAP70","MAMDC2","PSMA3-AS1","MTERF3","TCIRG1",NA,"MBP","WISP2",NA,"ADAMTS2","MS4A6A","FMC1"
"1153",NA,"ARHGAP17",NA,"PNN","SMPD1","ZNF681","TMEM147","JUP","PRKX",NA,"SLC39A8","LOXL4",NA,"RUVBL2",NA,"MRPL15","RETSAT",NA,"MTCH2","GUF1","CROCCP2","SV2A","TMEM219","SPAG5","MYL9",NA,"MRPL37","P3H2",NA,"CLEC11A","DUSP16","MMP14"
"1154",NA,"IL2RB",NA,"UBR3","TMEM30B","ALS2","BLVRA","PCYOX1","MTFP1",NA,"IQCC","CDC42EP1",NA,"TES",NA,"PRRG4","AP1S3",NA,"NUDT7","MEIS1","CTSC","MBNL2","TOMM5","SPHK1","PM20D2",NA,"PIP4K2C","PYROXD1",NA,"NFIA","RPL14","STAT6"
"1155",NA,"MAN2B1",NA,"ZNF33B","ZNF593","CARD16","FAM107B","PRR11","NEDD9",NA,"PIGL","DAAM1",NA,"C19ORF54",NA,"DENR","GLIS2",NA,"LGALS3BP","MRPS9","ESD","RPL23","UBE2M","UBR3","SLC35B3",NA,"RSRP1","SPECC1L",NA,"PLAG1","TMEM35B","UPP1"
"1156",NA,"ANKRD33B",NA,"AIFM2","C1ORF198","H2AFZ","TCERG1","ZNF521","PRNP",NA,"TMEM97","L3HYPDH",NA,"GRN",NA,"FANCL","GPR143",NA,"C10ORF128","SF1","FAM193A","TEAD2","COL9A3","ALMS1","STIL",NA,"TMEM64","BMT2",NA,"TNFAIP8","TRAPPC2","CACNG7"
"1157",NA,"FAR1",NA,"EGFL7","CADM1","POLR3K","PITRM1","ABCE1","BRI3",NA,"ACO1","NFIL3",NA,"MLKL",NA,"SNN","PSMG1",NA,"LPAR6","SYNGR2","HMG20A","H2AFZ","OSTM1","DPY19L3","ZNF415",NA,"CERK","DPY19L3",NA,"ANK2","CHD8","CWC15"
"1158",NA,"BAG2",NA,"IMP4","CALHM2","ANXA4","WFS1","COL4A6","DNAJC9",NA,"PTPN6","SGCD",NA,"SLC46A3",NA,"ZNF692","AUNIP",NA,"NPM1","TBC1D7","TNFRSF10B","ANXA2P2","MRPL12","FAM217B","ZNF436",NA,"KRAS","KPNA4",NA,"MDK","KCTD18","FAM155A"
"1159",NA,"HIST1H1C",NA,"PEBP1","COL11A2","CPNE3","B3GALNT1","FAM155A","HMGA1",NA,"TACC3","DZIP1",NA,"TIMM8A",NA,"BACH2","CORO1C",NA,"RHOBTB3","XRCC5","CD151","BLOC1S6","PDE6H","MSH2","ECI2",NA,"PET117","PTRF",NA,"NONAME91","GPR160","AGL"
"1160",NA,"MIS18BP1",NA,"RHOBTB3","EEF1D","PPP1R18","KBTBD8","BLACAT1","KIF2C",NA,"ARHGAP18","FADS3",NA,"VPS25",NA,"BTBD1","GTF2I",NA,"TNFRSF14","FRMD4B","OPN3","CENPN","SNORA64","SSBP2","GPATCH4",NA,"RRM2B","IMPDH1",NA,"SULT1A1","MRPL38","ID2"
"1161",NA,"RASAL3",NA,"MRPS36","EID1","THOC6","PLGRKT","MRPL37","NEXN",NA,"ARRDC2","IL10RB",NA,"IFI35",NA,"FNDC3B","PARP12",NA,"CDK5","GUSB","RAB8B","GALE","TMED2","UNG","MAP2K6",NA,"FAM49B","PLCB4",NA,"UBTD2","WNT10B","IL13RA1"
"1162",NA,"USP22",NA,"LETM1","STK38L","TPSAB1","POR","PCOLCE2","NUDCD2",NA,"SDE2","NOL8",NA,"NDUFS7",NA,"MAP3K11","GGH",NA,"ELMO1","HACD3","BCKDK","TFAP2A","FAM57A","HIP1","PABPC1L",NA,"HSH2D","RBMS3",NA,"WSB2","NONAME199","PMCHL1"
"1163",NA,"H2AFY",NA,"SLC16A1","TAF12","COMMD3","CPQ","REPS1","AKR1C3",NA,"TSTA3","TNFRSF10D",NA,"PGM1",NA,"PTER","GYG1",NA,"MX2","NEAT1","FPR3","TUBB4B","MBNL1","MMP2","BTG3",NA,"PDZD8","ALG8",NA,"ARPC5","PRPF39","SLC2A3"
"1164",NA,"PLD4",NA,"BEX1","GHR","HK2","PLEKHO2","RGS2","TAL1",NA,"VCPKMT","NONAME16",NA,"TRMT1",NA,"GNG2","ASNA1",NA,"ARHGAP5","ALCAM","IL27RA","UQCRQ","MMP27","NONAME848","LITAF",NA,"MAN1A1","CEBPB",NA,"CORO1A","AP2S1","WIPF1"
"1165",NA,"PPIL1",NA,"ELP5","KCTD18","MX1","PRR34-AS1","SERBP1","CALHM2",NA,"ALG8","SERP2",NA,"C8ORF59",NA,"KIAA1147","CEBPZ",NA,"MBNL1","CDC37","TSPAN3","UST","NEDD4","OSBPL1A","PAQR8",NA,"PRKD2","MAST3",NA,"CXXC5","ATXN7","BLOC1S1"
"1166",NA,"DPAGT1",NA,"F11R","OSTF1","NAP1L2","TMEM266","SERINC5","COL13A1",NA,"C9ORF64","AP2S1",NA,"CHST14",NA,"NOG","IGF2R",NA,"SIGLEC1","CRYZ","ARPC4","MME","TMEM216","ZNRF3","VEZF1",NA,"PUF60","SOCS5",NA,"RAB5C","FBXO46","DLX1"
"1167",NA,"HERPUD1",NA,"NONAME859","RPS20","NDUFS7","DENND2D","EID1","FEZ1",NA,"DDB1","ARPC5",NA,"FAM49A",NA,"SDF4","SLC37A3",NA,"ARHGAP18","MARS2","FAM105A","DCBLD1","HLTF","ALDH18A1","ARHGAP29",NA,"SOCS2","CDADC1",NA,"PET100","TTC3","GMNN"
"1168",NA,"ARL4C",NA,"SAMM50","ARPC5","HIST1H2BK","HIST1H2BK","ARHGAP29","MOV10",NA,"GDE1","ATL1",NA,"KDM5D",NA,"FYN","WFDC2",NA,"MAML2","MORC3","HERC5","ITGA10","IFNGR2","CRYBA1","CCNJ",NA,"CBX7","CDC42BPA",NA,"MBD5","FAR1","RPL8"
"1169",NA,"FAM117A",NA,"FAM213B","GALNT15","SPTAN1","NUP62","EGF","SRM",NA,"NCOA2","AXL",NA,"MSH2",NA,"HIST2H2BE","MREG",NA,"MFSD1","PPAT","NCSTN","NUDT11","PSMC3","FST","CNTN4",NA,"CECR1","COTL1",NA,"NAMPT","IRF9","GANAB"
"1170",NA,"FAM78A",NA,"GLRX2","SOWAHC","ARPC1B","PLP2","RFWD3","CLSTN1",NA,"TMEM86B","METTL26",NA,"RAB4A",NA,"HLA-F","NCAPD2",NA,"NDUFS3","APITD1","TBL1X","PPA2","SEC16A","MAP4K3","HMGCR",NA,"PAPD5","IL10RB",NA,"PSMD8","PSTPIP2","CORO1C"
"1171",NA,"FMNL3",NA,"NOLC1","TOMM7","ATP6V0A2","SLC3A2","STXBP1","SH3BGRL2",NA,"ATP6V1F","STAT1",NA,"AP2S1",NA,"PEBP1","PRNP",NA,"UHMK1","CRNDE","XPNPEP1","TMBIM1","VCAN","MOB1B","TCERG1",NA,"SLC38A2","PHACTR2",NA,"SLPI","RBM42","COX5A"
"1172",NA,"LSM10",NA,"SPRYD4","TSPAN4","CD55","DENR","EGR2","TNFRSF1A",NA,"NDUFS5","CD151",NA,"ACPP",NA,"BAZ2B","DCUN1D3",NA,"BTAF1","MAMLD1","CCDC149","TUBA1A","HSPA1L","SERPINH1","GDI1",NA,"CCDC91","RHOBTB3",NA,"DDX60L","GYG1","PELP1"
"1173",NA,"PLP2",NA,"AK1","CALU","SGK1","FNBP1","GDAP1","BUB1",NA,"RLF","FXYD1",NA,"ERGIC1",NA,"HSDL2","EIF5A",NA,"CHCHD10","SLC25A32","DENND4B","BTG3","NDUFAF6","CHRNA5","KLF10",NA,"FAM13B","ARHGEF10",NA,"DNAJB4","IRF2","CD59"
"1174",NA,"BEX4",NA,"C11ORF74","FGFR1","ACOX2","RASAL1","TSPAN18","FANCI",NA,"COQ3","RASSF3",NA,"IPO4",NA,"NACC2","HLA-DRB1",NA,"HSD17B12","TCF12","GALNT7","FGFRL1","PREX1","HSPA1B","MKI67",NA,"OSBPL3","DCUN1D3",NA,"PLTP","MEGF6","LDOC1"
"1175",NA,"COL9A3",NA,"DBF4","PALM","CTSO","SLC25A39","DCBLD2","HTATIP2",NA,"SNX9","SFXN3",NA,"DAP",NA,"IFIT5","HSPA1B",NA,"PAICS","GOT2","GPR18","MAT2A","TRIM56","CLDN1","SYNGR2",NA,"RHOQ","DEGS1",NA,"FKBP14","PIK3R5","NONAME903"
"1176",NA,"FAM216A",NA,"IQCC","ANXA2P2","ERGIC1","ASAH1","OVOL2","PLAU",NA,"TMEM167B","HTR2A",NA,"LAMTOR2",NA,"IKBIP","NDUFA5",NA,"PARP14","HIBCH","HMG20B","PDCD5","WDR61","CDC25A","MAGEH1",NA,"SH3BGRL","FAM13B",NA,"FUT8","RPS6","RHOQ"
"1177",NA,"PLAGL1",NA,"CDKN1B","INHBA","RSAD2","CPEB4","RPLP2","PLD1",NA,"CCP110","CXCL12",NA,"NTHL1",NA,"MCTP2","NEFL",NA,"UCHL3","MBNL1","ALG3","CD46","BTAF1","LRP4","CCT6A",NA,"DDX39A","HOPX",NA,"KLHL29","ASH1L-AS1","SSPN"
"1178",NA,"SLC25A33",NA,"OAT","SASH1","ZNF711","GLMP","VCPKMT","RGL1",NA,"DPAGT1","MORC4",NA,"RRN3P2",NA,"SNHG6","CHST7",NA,"BCAR3","PLCB4","DDIT4","MIR31HG","MED30","RHNO1","CHMP4C",NA,"LFNG","ZBTB8A",NA,"NDUFV3","KIAA1147","FAM98A"
"1179",NA,"TBC1D4",NA,"PFDN5","ADIRF","EMCN","H1F0","PGM1","ZC3H12C",NA,"FBXO8","PLA2G4C",NA,"E2F8",NA,"CD81","MAFF",NA,"CALM3","VCPKMT","GRINA","NONAME669","RENBP",NA,"METTL7A",NA,"SLC37A3","FNBP1L",NA,"REXO2","MORC4","PET100"
"1180",NA,"TRMT13",NA,"ZNF22","IRF7","GMNN","RARRES1","RNASEH1-AS1","APLP2",NA,"RCCD1","IRF9",NA,"LILRB4",NA,"MIR29C","RFWD3",NA,"MCUR1","ZNF507","SYTL3","PSPH","SAMM50",NA,"C1ORF216",NA,"TTC39B","SERPINA3",NA,"SYNJ1","PELI1","SOX4"
"1181",NA,"CSNK1D",NA,"DHRS7","NEGR1","NR1H3","CDR2","SLC37A3","CARD8",NA,"SLC38A2","JKAMP",NA,"LINC01420",NA,"PDZD8","SLC1A1",NA,"MT1G","DUSP23","ATP6V0B","SERP2","BMP2",NA,"NID1",NA,"CRTC3","SLC7A5",NA,"TP53I3","SPEN","SUCLG2"
"1182",NA,"TRIP6",NA,"GEMIN6","TTC8","SAMM50","MRPS27","TMEM220","DBI",NA,"GSTO1","NIPSNAP3A",NA,"P2RX1",NA,"RSL1D1","HEBP2",NA,"SPNS1","PRKD1","BIRC3","THAP10","DPYSL2",NA,"SH3BP5",NA,"PON2","C5ORF51",NA,"BCL3","UTP4","ARSJ"
"1183",NA,"ARHGAP19",NA,"GNL3","BORCS7","SLC25A33","NEAT1","CYTL1","DNASE1L1",NA,"CNN3","SOWAHC",NA,"CHPT1",NA,"NEDD9","RIDA",NA,"TSTD1","TIGD2","BTAF1","DGUOK","SLC2A3",NA,"CCDC112",NA,"UTP4","NAV1",NA,"IQGAP1","ANKRD44","DNAJC3"
"1184",NA,"CTNNAL1",NA,"HIKESHI","DZIP1","TMEM251","SLFN11","HERC6","FAHD1",NA,"E2F4","MXI1",NA,"EIF2D",NA,"PRC1","SYTL2",NA,"DNTTIP1","GRB10","MAP3K11","MRPL3","SPN",NA,"MINPP1",NA,"ANKRD44","AKR1C1",NA,"PDE4DIP","HINT1","HACD3"
"1185",NA,"IPO5",NA,"NUP205","FAM162A","TRAPPC1","SMIM3","PRRC2C","PALD1",NA,"FUBP1","HEATR5A",NA,"MT1X",NA,"S100A10","CGN",NA,"HDDC2","NCK2","MINPP1","UTP20","TALDO1",NA,"PRMT3",NA,"GCLC","ARRDC2",NA,"CFAP73","LINC01619","OSTF1"
"1186",NA,"SUGCT",NA,"SIAH2","SLC2A12","CALHM2","MBNL1","CXCL12","TMEM251",NA,"GARS","JAZF1",NA,"RFWD3",NA,"GNG11","COL21A1",NA,"PRCP","SMARCA4","RNF166","ATL1","CMSS1",NA,"TUBA4A",NA,"SVIP","CLSTN1",NA,"HDAC1","MAPK13","PLOD1"
"1187",NA,"TUBA4A",NA,"MMS19","COTL1","HLA-A","RAB42","PCDH7","TNFRSF14",NA,"HSPA6","LAMA1",NA,"BORCS7",NA,"SERPINI1","POLD4",NA,"SLC39A11","SRSF3","UBE2M","C8ORF88","IMP3",NA,"TYW3",NA,"TGFBR1","IL15",NA,"PLOD1","ARRDC2","RASSF3"
"1188",NA,"CKLF",NA,"DHX15","FZD1","HOXA7","RNH1","PQLC3","CXORF36",NA,"PPP4R3A","LLPH",NA,"CBFB",NA,"TES","PRMT6",NA,"PRKAR2B","ZNF670","HDHD2","KIF22","SLC16A6",NA,"IPO5",NA,"CAST","TMEM30A",NA,"VAMP5","FASTKD3","TSC2"
"1189",NA,"NRBP2",NA,"ESYT1","MOXD1","NME7","AIF1","TMEM135","CYB561A3",NA,"SSSCA1","BRI3",NA,"CECR6",NA,"ENOPH1","QDPR",NA,"SULF2","FTH1","IFIT5","TBX5-AS1","UBL3",NA,"NAV2",NA,"DRAP1","TSPAN3",NA,"FAM127A","RBBP5","FAM219A"
"1190",NA,"OXA1L",NA,"MTFP1","GALE","NONAME58","RMI2","FAM83F","MBNL2",NA,"RPL3","KIF18B",NA,"KCTD3",NA,"ECH1","TFPI2",NA,"ARL6IP5","PTK2","SEC23A","TRAM2","MAN2B1",NA,"NT5C3B",NA,"GAS7","KIAA0355",NA,"GSPT2","TRAV8-1","LMO2"
"1191",NA,"KIF4A",NA,"AMPD2","TANC1","DDAH2","TXLNA","IFT80","MMADHC",NA,"SETD1B","PPFIBP2",NA,"LILRA2",NA,"GNB2","CREG1",NA,"CPQ","ZFP36L2","TPRA1","CIT","TCEAL9",NA,"PMM2",NA,"NAA30","PANK1",NA,"YBX3","MAGEH1","NDUFV3"
"1192",NA,"LONRF1",NA,"HNRNPAB","DCHS1","HCP5","WSB2","NUP205","NDN",NA,"UBR4","SH3BGRL3",NA,"PCCB",NA,"IFI44","NCAPG2",NA,"HLX","ACTG1","CSK","EHD2","TREM1",NA,"TANC2",NA,"KBTBD7","SGCD",NA,"MICB","OSGEPL1","PPP1R3B"
"1193",NA,"SAMM50",NA,"HTRA2","LOXL4","HMOX1","ATP6V0C","CCDC18","PPA2",NA,"WSB2","C1ORF54",NA,"ACVR1",NA,"NONAME813","SPATA20",NA,"LINC01125","BEX5","MCRIP2","ESPL1","DENND3",NA,"ADAM17",NA,"MALT1","TMTC1",NA,"PA2G4","TAMM41","KDSR"
"1194",NA,"TPP1",NA,"JUP","MEIS2","MARVELD1","CELF2","GDF15","CDCA8",NA,"GPI","KLF4",NA,"CD58",NA,"UBL3","AMT",NA,"MOSPD1","C20ORF197","MRPL9","KCNMA1","KIF1B",NA,"CDC14B",NA,"SMAP2","FNIP2",NA,"PDE7B","TNFRSF14","BORCS7"
"1195",NA,"DMAP1",NA,"MCM6","PIGP","NONAME826","COPG1","GRAMD3","EZH2",NA,"LTF","PSMC3",NA,"CHMP2A",NA,"MAGEH1","COG7",NA,"MRPL23","RFC3","ZNF185","DAPK3","RAP1GAP2",NA,"CDK19",NA,"TMEM160","INPP1",NA,"PQLC3","VPS28","DEGS1"
"1196",NA,"GALNT7",NA,"NOP10","SMARCA2","PFKM","GPI","ZNRF3","PPFIBP1",NA,"SNRNP40","TK1",NA,"PNKD",NA,"RHOB","ID4",NA,"MYO1G","SF3A3","ARMC1","DOCK4","SCP2",NA,"CRABP1",NA,"ARL14EP","PTOV1",NA,"PSMB9","CCDC167","GDE1"
"1197",NA,"HACD3",NA,"RILPL2","ZFAS1","SNRPA","GSTP1","FAM110C","SGCB",NA,"C12ORF29","ZHX1",NA,"THOC6",NA,"SDR39U1","IDH1",NA,"SNX8","POLE3","EPHX1","LPCAT2","AP1M1",NA,"FAM49B",NA,"IL16","VAMP8",NA,"SLC46A3","COX6B1","IQGAP1"
