"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"801","CTNNA1","NOP58","SNORD17","KLC1","DCBLD2","MNT","HIST2H2AB","PFDN1","THSD4","CYCS","NDUFB2","SIGLEC7","IGF2R","TACC3","REC8","VAMP8",NA,"GPR84","MRPL1","TRANK1",NA,"SPTAN1","ABCA7"
"802","MYL6","OGFR","CD99","BMP2K","COLEC12","TSPAN18","PKP1","RHEBL1","FAT4","NFKBIZ","RNF126","ITGB1","RAB5C","CPE","OGFR","PGRMC1",NA,"RELL1","NDNL2","MPZL1",NA,"CD63","EIF2A"
"803","ANTXR1","SLC25A39","CDCA2","CCDC28B","ZWINT","AP1G2","COL6A2","ALDH1A1","GCNT1","SEPW1","FAM83G","NUPL1","ZNF521","PXDC1","ZNF331","ACTN4",NA,"MPEG1","FLI1","PKIG",NA,"DLG3","HIVEP1"
"804","GPR34","ZSCAN18","ETV6","TOMM5","CARD6","ATXN10","VCAM1","S100A8","ZNF358","CNN3","RRM2","EMP3","SPC24","SHMT1","MAFF","DUSP10",NA,"PANX2","SYNGR1","CD99",NA,"GSTM3","PKN1"
"805","NHP2","APEX1","TPX2","CD200R1","KIAA0101","MCL1","RGS2","RPA3","ITGAV","MAGED2","IL1RN","SPG20","MBOAT1","MEIS2","TIMP2","MEG8",NA,"SEP15","BTN3A2","ACAT2",NA,"PDE4DIP","RPS24"
"806","PCK2","YPEL3","BOC","ST3GAL2","KLC1","TMEM86B","RPL13","UBAC1","NYNRIN","RPS13","LY6K","TOMM5","CEP55","SGK1","TWISTNB","PFKP",NA,"BOLA1","GYPC","CAP2",NA,"PPARG","ARHGEF3"
"807","ARHGAP26","NFKB2","JUNB","HPRT1","ADAMTS18","TSPO","FBXW7","FUNDC2","FSTL3","CDK4","B3GNT5","CHPT1","CORO1B","TIMP1","IQSEC1","PAPSS1",NA,"DDX60L","LFNG","IQGAP1",NA,"FBXW7","BAG3"
"808","ETS1","RPS4Y1","LINC00152","SQRDL","CPT1A","C5AR1","PPP1R14B","NDFIP2","IRS2","CERKL","GM2A","DYNC1I2","PLK1","PRICKLE1","IPCEF1","SSPN",NA,"OSBPL11","STK39","PRDM8",NA,"DDIT4","KIAA0922"
"809","GLIPR1","ALDH2","YES1","ETS1","TAX1BP3","CHD7","PTK2B","UBE2V1","HIST1H4A","TMEM71","RASIP1","LACTB2","SLC11A2","SORT1","PDK4","ACOT7",NA,"RNF166","C1QBP","ABLIM3",NA,"NAT14","PHACTR2"
"810","RANBP1","PRMT5","TRIM47","POGLUT1","TRIP13","MBD3","SH2D5","CCT8","TKT","EIF3L","HMGA2","LTBR","DIP2C","EMILIN1","PROK2","CYBA",NA,"CRISP3","NHP2L1","ACTN4",NA,"PCDHGB4","MFGE8"
"811","SMARCD2","COX16","COBLL1","COL9A2","FNBP1L","TRADD","STMN1","GPATCH4","DOCK10","HGF","MCL1","METRNL","GPX8","PRDX1","GPR97","SLC7A7",NA,"AOC2","SLC15A4","MICB",NA,"SLIT2","NKTR"
"812","ANXA5","GCA","MKI67","GAB2","RPS5","MAP2K3","GPX8","PI4K2A","ECE1","KLRG1","RPS23","NCS1","TLN1","LRP1","VPS45","RARB",NA,"DPY19L3","KIR2DL3","TGIF1",NA,"ANK3","SP100"
"813","ANXA6","SEPT6","RUNX1T1","PRF1","ST3GAL6","KDM2B","MALL","CAST","INSIG1","RPL18","SLC35F2","PCK2","ALDH18A1","PIK3R2","CREG1","SLC7A2",NA,"MPP1","NOTCH1","MYADM",NA,"TK1","CRIP2"
"814","GNB4","SLC38A5","ATP2B4","SLC7A8","NID2","FAM49A","ANKRD1","CLSPN","FMOD","EIF3M","HMGN1","SLC5A3","KIAA1211","PPA1","MILR1","TIMP2",NA,"AP5B1","OAS2","LMAN1",NA,"TSPO","IL4R"
"815","SPON2","ATP5G1","ZCCHC14","TFEC","FBL","HIST1H4J","GOLM1","PEBP1","TUBA1C","PCIF1","IARS","FAM195B","GNL3","CD81","NHP2L1","GCNT1",NA,"NINJ1","APOL1","VCL",NA,"DDAH1","MTFP1"
"816","ABCA5","CAD","BNIP3","BCL9L","SLC2A6","RAB3D","TSPYL5","PFDN4","CNN1","ANKRD12","PLXNB1","HPCAL1","NBL1","PTBP1","IL1A","CD81",NA,"ST3GAL4","FBXO44","RHPN2",NA,"ANXA6","APEX1"
"817","KCTD12","CAPS","CAPN2","GAS6","FAM83D","SWAP70","CXXC5","SHMT2","GNAI1","FOS","ZC3H12A","TRIM47","LIMD2","GDF15","MYO9B","PLEKHG5",NA,"ZNF486","FKBP8","SERPINB9",NA,"GBE1","PCNXL2"
"818","TSHZ2","TMPO","CHRAC1","HSPH1","MELK","ACAP3","PRDX2","DEPDC7","MT1X","ZNF395","CSRP1","MORN2","RAI14","GPRC5A","RPL18","COL16A1",NA,"ALDH1A2","LSM4","SLC14A1",NA,"IGF2R","PRKCA"
"819","FBXO17","MAP4K2","S100B","RAB3IP","HMMR","DIP2A","CD81","MRPL46","TMEM132A","IFT52","BIRC5","RPS4X","PSMD3","TLN1","BASP1","ANK1",NA,"HPSE","MGAT2","PVR",NA,"MICA","TRANK1"
"820","AHR","SEPT9","FYN","GPR132","MEX3D","SKP2","DSE","PRKAB1","ADAM19","MYH9","MRPS24","SNX24","HIST1H1C","RPL13","FPR2","CDK6",NA,"CAPG","NMT2","MALAT1",NA,"ALDH2","CD82"
"821","MAP3K8","CDC25B","TIMP1","MOCOS","DAPK1","TNFSF13B","RUVBL2","SOX6","KIF20A","PGM1","SMOC1","TMEM126A","HMGCR","HIST2H3C","NPC2","HIST1H2BL",NA,"CYB5R4","GOLIM4","CAV2",NA,"ATP5I","AKR1E2"
"822","MVP","RAB24","ALPK2","RIPK2","PAM","SLC39A11","KLC3","BCL2L1","SLC8A1","PYCARD","CDS1","AKR1B1","KIF2C","LITAF","RPS20","LY96",NA,"DGCR11","RPS27","SLC17A9",NA,"HIST1H2BF","DTX3"
"823","SFXN3","SGSM3","APP","SUMF2","PTTG1","MPZL3","TSPAN4","HSPB11","TNRC18","TOMM22","GLT8D2","CKAP4","RNF144B","OPN3","ANO6","EHBP1L1",NA,"ATP6V0A1","FUT11","CDK4",NA,"UNC5B","FOS"
"824","IPO5","TLE1","CDO1","MALAT1","FGFR1","MSI2","GBP2","SEPW1","TMSB4X","UCK2","MKI67","JUNB","WDR81","KDELR3","FXYD5","GLT8D2",NA,"CYP4F12","NSA2","PSAT1",NA,"GPR1","GNAQ"
"825","LAMA5","EPB41","CD81","TLN1","MPST","S1PR1","USP9Y","CKLF","CTSZ","DENND5A","RIN2","FXYD5","CENPF","KLHL13","LIN7A","LSM4",NA,"FBXL5","RPS8","RAB3IP",NA,"FBLIM1","PXN"
"826","RPL5","RPL24","BIRC5","RTN2","PRKCE","ZEB2","FES","FRG1","PRR7","F2R","IFI27L2","MFHAS1","SCARB2","UHRF1","CD55","ATP8B2",NA,"ETS2","AREG","HLA-E",NA,"PGF","TMSB4X"
"827","SAT1","TLN1","IFITM1","SLC30A4","HMGN1","SLC38A1","NDRG4","WEE1","RPS29","RPL26L1","LIPE","RASSF2","MGAT4B","TCN2","MID1IP1","ENC1",NA,"DUSP16","JAK3","KLHL5",NA,"TUBA1C","RAB3IP"
"828","DMD","PLCG1","SHC1","AKAP5","KIF23","ZNF445","PLOD1","CMC2","SH3BP5","PSMA6","MAST4","CDC42EP3","KDM5C","C17ORF49","SEPT9","GSTP1",NA,"SNORA41","RPL37A","PRKG1",NA,"PLEKHG4","CEP68"
"829","SCRN1","SH2D3A","GLS","ARHGAP18","MTA2","FAM65A","SPTAN1","GPNMB","TRIP6","C6ORF25","ST6GAL1","GNAI2","HLA-A","HBEGF","RPS5","PKN1",NA,"EIF1AY","TRIAP1","LIMA1",NA,"SCRN1","PHF10"
"830","LAPTM4B","TMEM14C","ACTG1","METTL7A","ABCE1","IQSEC2","DPYSL3","LPIN2","IARS","H1F0","TKT","POMP","DAPK1","ATP5J2","ANKRD44","RPS26",NA,"SNORA55","BANF1","NXN",NA,"TBL1XR1","RBL2"
"831","NMB","VAMP2","KCNK2","PLD2","HIST2H2BE","SEPT9","PAFAH1B3","SLC2A14","OSMR","AHNAK","DUOX1","ICAM1","FRMD4A","HIST2H3A","CD9","SKP2",NA,"BCL3","KIR3DL1","DBNDD2",NA,"C4ORF3","ARHGEF11"
"832","BTG2","ANXA6","PDE7B","SHFM1","RCN3","YPEL3","GNG11","SSBP2","TLN1","ERI3","RNASEK","SHFM1","PFKP","ITGB4","VAV3","TBX18",NA,"KIF1B","FAM179A","CXCL5",NA,"FAM180A","GRK5"
"833","GSTP1","MYO9B","PEAK1","DDB2","ASPH","FAM73B","APBA2","RAD54L","FZD7","ARHGAP30","VASP","SLC2A5","SAMHD1","TBXAS1","BMF","BICC1",NA,"SOAT1","VASP","FBXW7",NA,"CROCCP3","LARS"
"834","RAPGEF3","RPLP2","ANKRD12","PTPRE","TPD52","TAB1","ASNS","ST7","HIST1H2BI","MAP3K13","CTSB","HAGHL","SHMT1","SLC38A5","FOLR3","CD99",NA,"DOCK11","GCH1","ALDH18A1",NA,"FAM162A","LPXN"
"835","LHFP","CREB3L2","CASC5","ANO9","CTBP2","UPK3B","TXNIP","TRIB2","COMT","ARRB1","FAM83D","PDIA4","ARNT2","PHLDA1","GIMAP2","FHOD3",NA,"FAR2","RHOF","CDC42BPB",NA,"LMAN1","TSPAN18"
"836","SESN1","FCGR2C","ALDH1L2","PTGR1","EXT1","METTL17","UQCRB","ERI2","PCDHGC3","NAAA","GALE","PIM1","DDIT4","EXT1","ATHL1","MSMO1",NA,"RPGRIP1","SERPINB9","DPYD",NA,"EHD3","BTN3A3"
"837","LPP","HDAC10","CFB","CELF2","MPZL1","PCTP","AMOTL1","PSMB6","JUN","PTRHD1","MFSD10","VWA5A","PKN1","SALL2","HSD17B10","CEBPD",NA,"ATP2A3","ACP1","ICAM5",NA,"FAM65C","LRBA"
"838","ODF2L","PHF1","KIF23","RYBP","STK32B","SNORA9","CASP1","TIMM17B","NIPSNAP1","PHACTR2","PTPMT1","GPX1","HMMR","CARHSP1","NHP2","ESYT1",NA,"CELF2","ST3GAL5","JUNB",NA,"ANXA10","CAPG"
"839","CNRIP1","SRM","PBX1","SCARNA9","AHNAK2","C16ORF74","LIMD2","TMEM45A","IRAK3","STARD3","RAPGEF3","TBC1D10C","C21ORF91","MIF","OAF","MAMDC2",NA,"USP10","XCL1","RPL10A",NA,"CTNNA1","FAM78A"
"840","DSG2","TRABD","ANKRD6","TNFAIP8","RPGR","GDPD5","SIPA1L2","RPS6KL1","PCDHGB7","APH1A","ABLIM1","TNFRSF1A","ENAH","C9ORF16","TIAM1","COL4A5",NA,"CKLF","APBB1","IFNE",NA,"CYBA","RPL19"
"841","LRIG1","DDX26B","FABP3","MGAT4B","SRPX2","AGAP2","CDC42EP5","LITAF","PIAS3","COMMD6","AGTRAP","PHPT1","KLC1","COMTD1","PQLC3","LINC00472",NA,"AGPAT9","PDGFRB","PTPN13",NA,"GXYLT2","DNM2"
"842","USP53","DTNB","KYNU","ACAT2","RRM2","FKBP8","CDKN2B","NDE1","PRDX1","PPIP5K2","DUSP2","PTMS","TGFBR3","FERMT2","SH3BP5","RPL4",NA,"FKBP8","FAM129A","RPS4Y1",NA,"HIST1H2AH","HABP4"
"843","LITAF","GRK5","PLOD1","AKR1A1","SEPT11","FRAT2","GLO1","POLD2","B3GNT9","UPK3BL","GOT2","RBP7","TOP2A","HN1L","FAM198B","SCRN1",NA,"HECW2","NDUFA12","TRAM2",NA,"NUPR1","ZNF507"
"844","SH3BGRL2","IQSEC1","CRNDE","PLEKHO1","HIST1H2BK","GPR160","PARD6B","SPA17","CYFIP1","ANKRD13D","OSBPL10","CLDN12","C19ORF66","WBSCR27","SLC16A6","DPYSL2",NA,"MYO9B","NFATC3","ANKRD12",NA,"COL13A1","FAAH2"
"845","ALDOC","TCEAL8","TCEAL8","TSTD1","LIMD2","ACAD9","SLC37A1","GOT1","SH3GL1","ACYP1","PWP2","HEXA","DUSP10","DST","TAGLN2","EGFLAM",NA,"NSMAF","NRD1","FOXP1",NA,"HSPA1B","RPL30"
"846","ATN1","ZNF154","ARHGAP21","LY6E","PLCB1","LINC00299","PLA2G16","HSD17B11","SLC6A9","ATP5C1","U2AF2","MDFIC","SHC1","SSBP4","TMEM189","GBP3",NA,"SRPK1","PPP1R12C","LRRC8C",NA,"SNRPD2","SEPT6"
"847","SEPW1","ISOC2","ALDH18A1","CBLN3","TAGLN2","NDST1","SNCA","RPS6","SLC7A11","CTNNA1","BNIP3","ARAP1","FBXL7","DDAH1","DNAJC10","MGST2",NA,"GPR160","TNFRSF14","HBEGF",NA,"LITAF","ZNF395"
"848","GNB2","MTA1","BMPR1A","POMP","AIF1L","SH3GLB2","SYNGR2","XK","ARRDC4","FKBP1A","CORO2A","FUCA2","CSNK1E","HCFC1","OSTC","PDZRN3",NA,"RRP12","ENPP5","MAN1A1",NA,"SV2A","KHNYN"
"849","RSL1D1","FKBP8","CDKL1","PHACTR2","HELLS","IL17RA","WNT7A","ING3","TGFBR2","MRPS24","FLRT2","AKIP1","HMOX1","HIST1H1A","PTGER4","GAPDH",NA,"ZNF493","PTPRJ","PLIN2",NA,"ZFY","MPP7"
"850","SLC9A3R2","CLPTM1","CENPF","ITFG3","MET","PTGER4","BEX2","MMAB","CYBA","SRRM1","MID1IP1","CDK14","UBE2L6","PLCB4","TMSB4X","SPRY1",NA,"RGS3","RPL18","CENPV",NA,"ROR2","S100A10"
"851","TCF4","HIAT1","ELOVL5","NDFIP2","RPL4","SLC35E2","KLK5","CTSW","NAT14","SRSF3","NR2F6","DPYD","CAPN2","PTPRM","CHD1","HIF1A",NA,"PSTPIP2","SLC16A7","HIST2H3C",NA,"APLP2","SBF1"
"852","PDZRN3","PDIA5","ZBTB20","ST8SIA6","TNFSF4","ZYX","MR1","BTG2","MALAT1","NME7","SUB1","CLDN23","MAD1L1","DUSP23","ITGB1","EHD3",NA,"RNF144B","NSMCE4A","HIST1H2BF",NA,"FZD7","SEC31B"
"853","RPL35","PTBP1","DSEL","AGPAT3","CPD","SBF1","BST2","FABP5","ATP6V0C","SLC50A1","FBL","PRKACB","WDR91","CD99","APLP2","SNRPN",NA,"SCARNA2","SAMD9","MYEOV",NA,"TNFRSF21","SUN1"
"854","SH3KBP1","RNPEPL1","HIST2H4A","CBLB","LBR","ZNF516","IGF2","HLA-DPB1","GALNT6","PPP1R15A","CSRP2","RAB5C","CASP4","EPB41L3","LIPN","ARHGAP18",NA,"SLC15A4","USP9Y","SLC2A10",NA,"TRIB3","TMOD2"
"855","CASP4","SNORA36B","LITAF","IFIH1","LRRC8C","PLEKHA7","LOX","MRPS18B","PTPRM","RPL35","HLA-E","TCEB1","GRAMD4","PLIN3","SHFM1","SEL1L3",NA,"SNORA14A","PTGER4","C12ORF75",NA,"TXNRD1","ADCY7"
"856","GTF2IP1","ZC3H12D","PAPSS2","KIAA1671","MAP4K2","DAPP1","PTBP1","TLN1","SPRY1","TMSB15B","RUVBL1","HMHA1","MTA2","RAI1","STRN4","ASNS",NA,"CCDC125","PTPN7","COLEC12",NA,"SEMA3B","HIST1H2AJ"
"857","HILPDA","CAPN10","SPIN1","RALB","RAB11FIP5","FAM46C","ESYT1","ANP32B","AKR1C3","RPSAP58","SEPP1","CAMK1","RDX","RBM38","ZBTB7B","EEF1A2",NA,"FAM41C","RPS17","HIST2H3A",NA,"GNAI1","PTGER2"
"858","FGD2","ZNF737","CCL28","UBE2E2","CORO1B","FZR1","PCDH7","EXOSC5","C10ORF10","SNRPF","TMEM14C","CITED2","GOLM1","SLC39A13","ATP6V0A1","FOXL1",NA,"WDTC1","ACTN4","PDGFC",NA,"RECK","RGPD6"
"859","NRN1","LTBP3","CD248","S100A4","SMURF2","USP36","PTPRK","MCM3","FRMD4A","UBB","EMP1","NFAM1","GNG11","TUBA4A","LSM4","CD44",NA,"JDP2","GBP1","RPP25",NA,"ADH5","RPL41"
"860","TBC1D9","TBC1D1","CREB3L1","VAMP5","DYNC1I2","HLA-DPB1","BCAT1","ANKLE1","NCS1","ABHD14B","GRHL2","PLXNB2","MAF","HSD17B8","NPL","KLC1",NA,"TLR5","P2RY10","SYNE1",NA,"PFKL","GRAMD1A"
"861","EPB41L2","WBSCR22","ANKRD36B","CHFR","IPO5","IFITM2","TRIP6","BZW2","DOK1","FTSJ2","SERPINB3","ACSL5","ENC1","MGLL","RAB34","CSRP1",NA,"UBN1","ARHGEF12","NCS1",NA,"POLR2L","SEPW1"
"862","KLHDC8B","BTN3A1","PKIG","EHD4","LDLR","OGFR","AK4","C1ORF131","GLIPR1","HELLS","TNIP1","APOA1BP","IQGAP3","THSD4","BIRC3","RAMP1",NA,"LPCAT1","OSTF1","CD81",NA,"TPBG","EIF3L"
"863","RAP2B","RPL22L1","SQRDL","IPCEF1","MAGI1","LRSAM1","ASPH","PTK2","SPTAN1","HMGN1","RPS12","GIPC1","RAB34","KHSRP","EIF3L","SCG2",NA,"MIR22HG","TRIM22","PLIN3",NA,"TRO","ESYT1"
"864","HSPA1A","ECE1","TRIP6","LPL","MGLL","PAK1","ATP6V0E2","NDUFAF2","RARA","LINC00152","TP53TG1","LY6E","FAM111A","CCNB1","HRH2","TSPAN5",NA,"PTP4A3","CCL4L1","PSMF1",NA,"ESYT1","KCNN4"
"865","LHFPL2","SH3BP5","CAMK1D","PLXNC1","ADAM19","ZBTB7B","GFOD1","PDIK1L","BCKDK","FBL","TRIP13","UBTD1","FAM124A","PTX3","METAP2","AFAP1L1",NA,"TSPO","RGS2","NFKBIE",NA,"SEPT11","RNF213"
"866","OSMR","FAM193B","CD151","CENPV","METTL7A","S100A10","RPL35","RPS18","FAM162A","LPCAT2","RPS4X","ABCA1","FBXW5","HOXC9","CLIP4","BASP1",NA,"GAS7","RPS15A","COLEC10",NA,"SLC38A1","CRY1"
"867","ANTXR2","ATF7IP2","DOCK5","FAM162A","NMT2","TMEM229B","BNC1","ZWILCH","IKBIP","RPF2","SPECC1","PHB","GALNT14","ANLN","CTNNA1","LIMCH1",NA,"PLB1","CDC34","EPS8L2",NA,"ANKRD12","NHP2"
"868","DPYSL2","EEF1G","FEZ1","MCM5","RUVBL2","FAM107B","MT2A","MCM4","SLIT2","RPS23","EFHD2","SLC7A11","NETO2","CDK4","MAP2K3","MDK",NA,"TMEM140","PIK3R1","EMP1",NA,"HLA-E","INF2"
"869","PARM1","MGAT4B","PAPPA","CIITA","TSPAN9","FCHO1","RPS5","SNX8","NEO1","TPTEP1","ESRRA","NDUFS5","SYNE2","FAM64A","PCNX","GBE1",NA,"NSUN7","SRPR","MXRA5",NA,"PLEKHF1","RPL17"
"870","ALDH1A3","MSTO1","RHOD","PITPNM1","CASP1","CHFR","ABCE1","E2F4","PEBP1","PLEKHO1","PLOD1","TTYH3","FEN1","NEDD9","RAPGEF1","QSOX1",NA,"AIM1","ASCL2","SLC2A1",NA,"ACTN4","RPS25"
"871","ERV3-1","TGFB1","GLCCI1","TIGD2","CCNE2","MRI1","KDM5D","HMOX1","KITLG","U2AF1L4","CWH43","FRRS1","KIF23","TOM1L1","SEPW1","CORO6",NA,"USP15","HSD17B10","SLC9A3R2",NA,"COMT","ZNF550"
